[32m [INFO] [06/25/2025 14:44] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: self-signed certificate [0m 
[32m [INFO] [06/25/2025 14:45] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: self-signed certificate [0m 
[32m [INFO] [06/25/2025 14:45] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: self-signed certificate [0m 
[32m [INFO] [06/25/2025 14:45] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: self-signed certificate [0m 
[32m [INFO] [06/25/2025 14:47] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: self-signed certificate [0m 
[32m [INFO] [06/25/2025 14:49] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: self-signed certificate [0m 
[32m [INFO] [06/25/2025 14:49] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: self-signed certificate [0m 
[32m [INFO] [06/25/2025 14:50] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: self-signed certificate [0m 
[32m [INFO] [06/25/2025 14:50] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: self-signed certificate [0m 
[32m [INFO] [06/25/2025 14:53] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: undefined | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: 530 Non-anonymous sessions must use encryption. [0m 
[32m [INFO] [06/25/2025 14:56] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [06/25/2025 15:36] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [06/25/2025 15:36] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [06/25/2025 15:56] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [06/25/2025 15:56] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [06/25/2025 15:57] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
[32m [INFO] [06/25/2025 15:58] | USER: undefined | IP: ::ffff:127.0.0.1 | ROUTE: /Structure | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: Structure | MESSAGE: Remote folder structure retrieved [0m 
